word,usage,in_sentences,tier,why,act,jit,frames,recording,source,alias_of
嘉義_B(地名),40,,severe,severe 抓不到手,0.2456,0.01841,114,0368_嘉義_B(地名).json,twtsl:368,
蘭嶼_A,40,,severe,severe 抓不到手,0.2857,0.02404,105,1172_蘭嶼_A.json,twtsl:1172,
蘭嶼_B,40,,severe,severe 抓不到手,0.1882,0.04467,85,1173_蘭嶼_B.json,twtsl:1173,
苗栗,40,,poor,poor 偵測率低,0.3404,0.0196,94,1321_苗栗.json,twtsl:1321,
澎湖,40,,poor,poor 偵測率低,0.44,0.01966,125,1602_澎湖.json,twtsl:1602,
馬祖,40,,severe,severe 抓不到手,0.215,0.02757,107,pn_0623_馬祖.json,placename:623,
基隆,40,,poor,poor 偵測率低,0.349,0.01752,149,pn_0639_基隆1.json,placename:639,
嘉義,40,,poor,poor 偵測率低,0.383,0.0264,94,pn_0831_嘉義1.json,placename:831,
換_A,39,,severe,severe 抓不到手,0.0642,0.02107,109,0714_換_A.json,twtsl:714,
換_B,39,,severe,severe 抓不到手,0.1522,0.02222,92,0715_換_B.json,twtsl:715,
換_C,39,,poor,poor 偵測率低,0.4769,0.02273,65,0716_換_C.json,twtsl:716,
北投_A,38,,severe,severe 抓不到手,0.0206,0.03061,97,0185_北投_A.json,twtsl:185,
北投_B,38,,severe,severe 抓不到手,0.0597,0.02344,134,0186_北投_B.json,twtsl:186,
公車_A,38,,poor,poor 偵測率低,0.4225,0.01775,142,0263_公共汽車_A.json,twtsl:263,
同學_B,38,,poor,poor 偵測率低,0.4237,0.02248,59,0405_同學_B.json,twtsl:405,
同學_C,38,,poor,poor 偵測率低,0.425,0.02234,80,0406_同學_C.json,twtsl:406,
同學_D,38,,severe,severe 抓不到手,0.2195,0.0219,41,0407_同學_D.json,twtsl:407,
同學_A,38,,poor,poor 偵測率低,0.3173,0.02508,104,0403_同學_A.json,twtsl:403,
計畫_A,38,,severe,severe 抓不到手,0.0,0.02388,139,1646_計畫_A.json,twtsl:1646,
計畫_B,38,,severe,severe 抓不到手,0.0185,0.0259,108,1647_計畫_B.json,twtsl:1647,
中壢_A,38,,severe,severe 抓不到手,0.0125,0.01861,80,2509_中壢_A.json,twtsl:2509,
中壢_B,38,,severe,severe 抓不到手,0.0,0.01896,69,2510_中壢_B.json,twtsl:2510,
中壢,38,,poor,poor 偵測率低,0.4811,0.02256,106,pn_0128_中壢1.json,placename:128,
下午_B,37,,poor,poor 偵測率低,0.5581,0.02065,86,0044_下午_B.json,twtsl:44,
下午_A,37,,severe,severe 抓不到手,0.0,0.02559,79,0045_下午_A.json,twtsl:45,
水_N,37,,severe,severe 抓不到手,0.2037,0.01776,108,2409_水_N.json,twtsl:2409,
水_S,37,,severe,severe 抓不到手,0.0431,0.01586,116,2410_水_S.json,twtsl:2410,
顏色_B,34,,poor,poor 偵測率低,0.5349,0.01934,86,0429_式_C.json,twtsl:429,
顏色_A,34,,poor,poor 偵測率低,0.4963,0.01348,135,0428_顏色_A.json,twtsl:428,
說話_A,34,,poor,poor 偵測率低,0.3942,0.02094,104,2017_說話_A.json,twtsl:2017,
說話_B,34,,severe,severe 抓不到手,0.2989,0.02707,87,2018_說話_B.json,twtsl:2018,
特別,34,,poor,poor 偵測率低,0.3028,0.01404,109,2021_特別.json,twtsl:2021,
特別_N,34,,poor,poor 偵測率低,0.3028,0.01404,109,2021_特別_N.json,twtsl:2021,
特別_S,34,,severe,severe 抓不到手,0.0159,0.01588,126,2022_特別_S.json,twtsl:2022,
突然_A,34,,severe,severe 抓不到手,0.1163,0.0232,86,2091_一瞬間_A.json,twtsl:2091,
突然_B,34,,poor,poor 偵測率低,0.3605,0.02005,86,2092_一瞬間_B.json,twtsl:2092,
不懂_N,33,,poor,poor 偵測率低,0.534,0.01842,103,0593_不知道_N.json,twtsl:593,
不懂_S,33,,poor,poor 偵測率低,0.3077,0.01734,104,0594_不知道_S.json,twtsl:594,
障礙_B,33,,poor,poor 偵測率低,0.5606,0.02728,66,1490_阻礙_B.json,twtsl:1490,
報名_A,33,,poor,poor 偵測率低,0.3362,0.01486,116,1757_報名_A.json,twtsl:1757,
