word,usage,main_tier,main_act,main_frames,main_recording,main_source,variants
牙齒,12,ok,0.8969,262,twtsl2_牙齒.json,twtsl:rescan-2026-09,
玩具,12,ok,0.703,394,twtsl2_玩具.json,twtsl:rescan-2026-09,
蘋果,12,ok,0.7228,267,twtsl2_蘋果.json,twtsl:rescan-2026-09,
轉,12,ok,1.0,116,twtsl2_轉.json,twtsl:rescan-2026-09,
騙,12,ok,0.9833,120,twtsl2_騙.json,twtsl:rescan-2026-09,
香,12,ok,0.9924,264,twtsl2_香.json,twtsl:rescan-2026-09,
冬天,11,ok,1.0,30,moc_G4D1P1.json,moc:G4D1P1,冬天_A:severe:0.0341 冬天_B:poor:0.4273
工廠,11,ok,0.7143,35,moc_G3D9P1.json,moc:G3D9P1,工廠_A:severe:0.0083 工廠_B:severe:0.1068
傳真,11,ok,0.7609,46,moc_G1D4P1.json,moc:G1D4P1,傳真_A:poor:0.3605 傳真_B:poor:0.5
未來,11,ok,0.881,42,moc_G4D8P3.json,moc:G4D8P3,未來_A:severe:0.1111 未來_B:severe:0.2872
猜,11,ok,1.0,22,moc_G1D16P3.json,moc:G1D16P3,猜_A:poor:0.4414 猜_B:severe:0.0
個性,11,ok,1.0,42,moc_G3D2P1.json,moc:G3D2P1,個性_A:severe:0.199 個性_B:severe:0.2586
持續,11,ok,0.8542,48,moc_G1D14P3.json,moc:G1D14P3,持續_A:poor:0.4308
陽光運動公園,11,ok,0.9586,145,moc_G1D1P1.json,moc:G1D1P1,
六點,11,ok,0.7215,79,moc_G1D10P1.json,moc:G1D10P1,
百貨公司,11,ok,0.9091,66,moc_G1D12P1.json,moc:G1D12P1,
三年,11,ok,0.9615,26,moc_G2C11_R.json,moc:corpus-gapfill,
有一次,11,ok,0.8077,26,moc_G1D3P1.json,moc:G1D3P1,
選擇,11,ok,1.0,21,moc_G1D3P1.json,moc:G1D3P1,
聯繫,11,ok,0.8776,49,moc_G1D4P2.json,moc:G1D4P2,
它,11,ok,1.0,33,moc_G1D4P2.json,moc:G1D4P2,
輕鬆,11,ok,0.9565,92,moc_G1D8P2.json,moc:G1D8P2,
報紙,11,ok,0.619,21,moc_G2D10P2.json,moc:G2D10P2,
醒,11,ok,0.875,40,moc_G2D11P1.json,moc:G2D11P1,
固定,11,ok,1.0,17,moc_G2D11P2.json,moc:G2D11P2,
回,11,ok,1.0,24,moc_G2D1P1.json,moc:G2D1P1,
爬,11,ok,0.6735,49,moc_G2D6P1.json,moc:G2D6P1,
直,11,ok,1.0,19,moc_G2D6P2.json,moc:G2D6P2,
聽打,11,ok,1.0,51,moc_G2D7P2.json,moc:G2D7P2,
服藥,11,ok,0.7714,35,moc_G2D2P3.json,moc:G2D2P3,
推,11,ok,0.697,33,moc_G2D5P1.json,moc:G2D5P1,
答應,11,ok,0.6531,49,moc_G2D9P2.json,moc:G2D9P2,
瑞典,11,ok,1.0,61,moc_G2C45_L.json,moc:corpus-gapfill,
暑假,11,ok,0.6491,57,moc_G3D12P1.json,moc:G3D12P1,
外國,11,ok,0.8235,51,moc_G3D16P2.json,moc:G3D16P2,
雙胞胎,11,ok,0.9483,58,moc_G3D2P1.json,moc:G3D2P1,
倒,11,ok,1.0,24,moc_G4D1P2.json,moc:G4D1P2,
觀摩,11,ok,0.9737,38,moc_G4D8P2.json,moc:G4D8P2,
珍惜,11,ok,0.913,46,moc_G4D5P2.json,moc:G4D5P2,
廁所,11,ok,1.0,48,moc_G4D6P2.json,moc:G4D6P2,
規律,11,ok,0.7073,41,moc_G4D6P4.json,moc:G4D6P4,
桌子,11,ok,0.7473,91,moc_G4D2P2.json,moc:G4D2P2,
起初,11,ok,0.9355,31,moc_G4D3P1.json,moc:G4D3P1,
街頭藝人,11,ok,0.9123,57,moc_I1P3_L.json,moc:I1P3,
杯子,11,ok,1.0,43,moc_I2P2_L.json,moc:corpus-gapfill,
